Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinIndia
Kia e-Niro 64 kWh,Battery Electric Vehicle |       64 kWh,7.8 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"€ 39,090","£32,445","? 1,73,951"
Kia e-Niro 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.8 sec,155 km/h,235 km,167 Wh/km,230 km/h,Front Wheel Drive,5,"€ 35,290","£30,345","? 2,94,745"
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€ 50,880",N/A,"? 1,17,871"
Citroen e-SpaceTourer M 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€ 51,440","£31,995","? 1,25,270"
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"€ 52,230",N/A,N/A
Citroen e-SpaceTourer M 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€ 57,440",N/A,"? 2,00,402"
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€ 58,230",N/A,"? 1,00,417"
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€ 56,700",N/A,"? 2,91,152"
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€ 53,800",N/A,"? 2,17,922"
Opel Zafira-e Life L 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"€ 54,625","£49,465","? 2,08,358"
Opel Zafira-e Life M 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€ 59,800",N/A,"? 1,66,372"
Opel Zafira-e Life L 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€ 60,625",N/A,"? 2,58,794"
Peugeot e-Traveller Compact 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€ 50,880",N/A,N/A
Peugeot e-Traveller Standard 50 kWh,Battery Electric Vehicle |       45 kWh,13.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€ 55,900","£49,065","? 1,04,969"
Peugeot e-Traveller Long 50 kWh,Battery Electric Vehicle |       45 kWh,13.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€ 56,690","£49,905","? 2,41,109"
Peugeot e-Traveller Standard 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€ 57,440",N/A,N/A
Peugeot e-Traveller Long 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€ 58,230",N/A,"? 1,71,081"
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,365 km,237 Wh/km,590 km/h,All Wheel Drive,5,"€ 81,500",N/A,"? 2,60,669"
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5,"€ 83,750",N/A,"? 2,59,545"
Seres 3,Battery Electric Vehicle |       52 kWh,8.9 sec,155 km/h,270 km,193 Wh/km,390 km/h,Front Wheel Drive,5,N/A,N/A,"? 2,32,764"
Hyundai IONIQ 5 Project 45,Battery Electric Vehicle |       72.6 kWh,5.2 sec,185 km/h,370 km,196 Wh/km,860 km/h,All Wheel Drive,5,"€ 59,550","£48,000","? 1,91,839"
Porsche Taycan,Battery Electric Vehicle |       71 kWh,5.4 sec,230 km/h,395 km,180 Wh/km,790 km/h,Rear Wheel Drive,4,"€ 83,520","£70,690","? 1,39,256"
Porsche Taycan Plus,Battery Electric Vehicle |       83.7 kWh,5.4 sec,230 km/h,460 km,182 Wh/km,960 km/h,Rear Wheel Drive,4,"€ 89,244","£74,739","? 2,07,253"
Tesla Model S Long Range,Battery Electric Vehicle |       90 kWh,3.2 sec,250 km/h,555 km,162 Wh/km,830 km/h,All Wheel Drive,5,"€ 86,990","£83,980","? 2,95,764"
Tesla Model S Plaid,Battery Electric Vehicle |       90 kWh,2.1 sec,322 km/h,535 km,168 Wh/km,800 km/h,All Wheel Drive,5,"€ 1,26,990","£118,980","? 2,77,441"
Tesla Model X Long Range,Battery Electric Vehicle |       90 kWh,3.9 sec,250 km/h,475 km,189 Wh/km,710 km/h,All Wheel Drive,7,"€ 95,990","£90,980","? 1,33,547"
Tesla Model X Plaid,Battery Electric Vehicle |       90 kWh,2.6 sec,262 km/h,455 km,198 Wh/km,680 km/h,All Wheel Drive,7,"€ 1,16,990","£110,980","? 1,79,304"
Mini Cooper SE,Battery Electric Vehicle |       28.9 kWh,7.3 sec,150 km/h,185 km,156 Wh/km,260 km/h,Front Wheel Drive,4,"€ 32,500","£26,000","? 1,38,715"
JAC iEV7s,Battery Electric Vehicle |       39 kWh,12.0 sec,132 km/h,225 km,173 Wh/km,160 km/h,Front Wheel Drive,5,N/A,N/A,"? 1,56,012"
Volkswagen ID.4 Pure Performance,Battery Electric Vehicle |       52 kWh,9.0 sec,160 km/h,285 km,182 Wh/km,410 km/h,Rear Wheel Drive,5,"€ 38,450","£36,030","? 1,99,819"
Audi e-tron GT quattro,Battery Electric Vehicle |       85 kWh,4.1 sec,245 km/h,420 km,202 Wh/km,840 km/h,All Wheel Drive,4,"€ 99,800","£79,900","? 1,39,632"
Volvo C40 Recharge,Battery Electric Vehicle |       75 kWh,4.7 sec,180 km/h,340 km,221 Wh/km,440 km/h,All Wheel Drive,5,"€ 62,050","£57,400","? 1,03,360"
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,155 km/h,250 km,157 Wh/km,210 km/h,Front Wheel Drive,5,"€ 35,650","£27,950","? 1,88,435"
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"€ 41,850","£32,550","? 1,78,556"
Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,4.1 sec,240 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4,"€ 1,11,842","£87,820",N/A
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,3.3 sec,250 km/h,385 km,217 Wh/km,800 km/h,All Wheel Drive,4,"€ 1,54,444","£116,950",N/A
Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,2.9 sec,250 km/h,380 km,220 Wh/km,790 km/h,All Wheel Drive,4,"€ 1,87,746","£139,910","? 2,56,658"
Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh,3.5 sec,260 km/h,395 km,196 Wh/km,920 km/h,All Wheel Drive,5,"€ 65,990","£58,295","? 1,19,921"
BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,6.1 sec,200 km/h,350 km,203 Wh/km,470 km/h,All Wheel Drive,5,"€ 77,300","£69,905","? 2,62,560"
BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,4.6 sec,200 km/h,505 km,208 Wh/km,620 km/h,All Wheel Drive,5,"€ 98,000","£91,905","? 2,06,364"
MG MG5 Electric,Battery Electric Vehicle |       57 kWh,8.3 sec,180 km/h,340 km,168 Wh/km,440 km/h,Front Wheel Drive,5,"€ 35,000",N/A,"? 1,11,724"
